count_nintendo_games,name_column,platform_column,year_game,genre_column,transform_date
0,WII SPORTS,Wii,2006,Sports,2026-08-03
1,SUPER MARIO BROS.,NES,1985,Platform,2026-08-03
2,MARIO KART WII,Wii,2008,Racing,2026-08-03
3,WII SPORTS RESORT,Wii,2009,Sports,2026-08-03
4,POKEMON RED/POKEMON BLUE,GB,1996,Role-Playing,2026-08-03
5,TETRIS,GB,1989,Puzzle,2026-08-03
6,NEW SUPER MARIO BROS.,DS,2006,Platform,2026-08-03
7,WII PLAY,Wii,2006,Misc,2026-08-03
8,NEW SUPER MARIO BROS. WII,Wii,2009,Platform,2026-08-03
9,DUCK HUNT,NES,1984,Shooter,2026-08-03
10,NINTENDOGS,DS,2005,Simulation,2026-08-03
11,MARIO KART DS,DS,2005,Racing,2026-08-03
12,POKEMON GOLD/POKEMON SILVER,GB,1999,Role-Playing,2026-08-03
13,WII FIT,Wii,2007,Sports,2026-08-03
14,WII FIT PLUS,Wii,2009,Sports,2026-08-03
15,SUPER MARIO WORLD,SNES,1990,Platform,2026-08-03
16,BRAIN AGE: TRAIN YOUR BRAIN IN MINUTES A DAY,DS,2005,Misc,2026-08-03
17,POKEMON DIAMOND/POKEMON PEARL,DS,2006,Role-Playing,2026-08-03
18,SUPER MARIO LAND,GB,1989,Platform,2026-08-03
19,SUPER MARIO BROS. 3,NES,1988,Platform,2026-08-03
20,POKEMON RUBY/POKEMON SAPPHIRE,GBA,2002,Role-Playing,2026-08-03
21,POKEMON BLACK/POKEMON WHITE,DS,2010,Role-Playing,2026-08-03
22,BRAIN AGE 2: MORE TRAINING IN MINUTES A DAY,DS,2005,Puzzle,2026-08-03
23,POKÉMON YELLOW: SPECIAL PIKACHU EDITION,GB,1998,Role-Playing,2026-08-03
24,POKEMON X/POKEMON Y,3DS,2013,Role-Playing,2026-08-03
25,SUPER SMASH BROS. BRAWL,Wii,2008,Fighting,2026-08-03
26,ANIMAL CROSSING: WILD WORLD,DS,2005,Simulation,2026-08-03
27,MARIO KART 7,3DS,2011,Racing,2026-08-03
28,POKEMON HEARTGOLD/POKEMON SOULSILVER,DS,2009,Action,2026-08-03
29,SUPER MARIO 64,N64,1996,Platform,2026-08-03
30,SUPER MARIO GALAXY,Wii,2007,Platform,2026-08-03
31,POKEMON OMEGA RUBY/POKEMON ALPHA SAPPHIRE,3DS,2014,Role-Playing,2026-08-03
32,SUPER MARIO LAND 2: 6 GOLDEN COINS,GB,1992,Adventure,2026-08-03
33,SUPER MARIO 3D LAND,3DS,2011,Platform,2026-08-03
34,SUPER MARIO ALL-STARS,SNES,1993,Platform,2026-08-03
35,POKEMON FIRERED/POKEMON LEAFGREEN,GBA,2004,Role-Playing,2026-08-03
36,SUPER MARIO 64,DS,2004,Platform,2026-08-03
37,MARIO KART 64,N64,1996,Racing,2026-08-03
38,NEW SUPER MARIO BROS. 2,3DS,2012,Platform,2026-08-03
39,DONKEY KONG COUNTRY,SNES,1994,Platform,2026-08-03
40,ANIMAL CROSSING: NEW LEAF,3DS,2012,Simulation,2026-08-03
41,MARIO PARTY DS,DS,2007,Misc,2026-08-03
42,SUPER MARIO KART,SNES,1992,Racing,2026-08-03
43,WII PARTY,Wii,2010,Misc,2026-08-03
44,MARIO PARTY 8,Wii,2007,Misc,2026-08-03
45,POKEMON BLACK 2/POKEMON WHITE 2,DS,2012,Role-Playing,2026-08-03
46,GOLDENEYE 007,N64,1997,Shooter,2026-08-03
47,POKÉMON PLATINUM VERSION,DS,2008,Role-Playing,2026-08-03
48,SUPER MARIO GALAXY 2,Wii,2010,Platform,2026-08-03
49,THE LEGEND OF ZELDA: OCARINA OF TIME,N64,1998,Action,2026-08-03
50,SUPER MARIO BROS. 2,NES,1988,Platform,2026-08-03
51,SUPER SMASH BROS. FOR WII U AND 3DS,3DS,2014,Fighting,2026-08-03
52,THE LEGEND OF ZELDA: TWILIGHT PRINCESS,Wii,2006,Action,2026-08-03
53,SUPER SMASH BROS. MELEE,GC,2001,Fighting,2026-08-03
54,MARIO KART 8,WiiU,2014,Racing,2026-08-03
55,MARIO KART: DOUBLE DASH!!,GC,2003,Racing,2026-08-03
56,BIG BRAIN ACADEMY,DS,2005,Misc,2026-08-03
57,DONKEY KONG COUNTRY RETURNS,Wii,2010,Platform,2026-08-03
58,THE LEGEND OF ZELDA,NES,1986,Action,2026-08-03
59,POKÉMON EMERALD VERSION,GBA,2004,Role-Playing,2026-08-03
60,POKÉMON CRYSTAL VERSION,GB,2000,Role-Playing,2026-08-03
61,SUPER MARIO SUNSHINE,GC,2002,Platform,2026-08-03
62,DRAGON QUEST IX: SENTINELS OF THE STARRY SKIES,DS,2009,Role-Playing,2026-08-03
63,TETRIS,NES,1988,Puzzle,2026-08-03
64,SUPER SMASH BROS.,N64,1999,Fighting,2026-08-03
65,SUPER MARIO ADVANCE,GBA,2001,Platform,2026-08-03
66,MARIO KART: SUPER CIRCUIT,GBA,2001,Racing,2026-08-03
67,SUPER MARIO WORLD,GBA,2001,Platform,2026-08-03
68,POKEMON STADIUM,N64,1999,Strategy,2026-08-03
69,DR. MARIO,GB,1989,Puzzle,2026-08-03
70,POKEMON PINBALL,GB,1999,Misc,2026-08-03
71,DONKEY KONG 64,N64,1999,Platform,2026-08-03
72,PROFESSOR LAYTON AND THE CURIOUS VILLAGE,DS,2007,Puzzle,2026-08-03
73,SUPER MARIO BROS. 3,GBA,2003,Platform,2026-08-03
74,NEW SUPER MARIO BROS. U,WiiU,2012,Platform,2026-08-03
75,SUPER MARIO LAND 3: WARIO LAND,GB,1994,Platform,2026-08-03
76,THE LEGEND OF ZELDA: PHANTOM HOURGLASS,DS,2007,Action,2026-08-03
77,DONKEY KONG COUNTRY 2: DIDDY'S KONG QUEST,SNES,1995,Platform,2026-08-03
78,TOMODACHI LIFE,3DS,2013,Simulation,2026-08-03
79,KIRBY'S DREAM LAND,GB,1992,Platform,2026-08-03
80,SUPER MARIO BROS.,GB,1999,Platform,2026-08-03
81,SUPER SMASH BROS. FOR WII U AND 3DS,WiiU,2014,Fighting,2026-08-03
82,LINK'S CROSSBOW TRAINING,Wii,2007,Shooter,2026-08-03
83,POKEMON MYSTERY DUNGEON: EXPLORERS OF TIME/EXPLORERS OF DARKNESS,DS,2007,Role-Playing,2026-08-03
84,DIDDY KONG RACING,N64,1997,Racing,2026-08-03
85,DR. MARIO,NES,1990,Puzzle,2026-08-03
86,ANIMAL CROSSING: CITY FOLK,Wii,2008,Simulation,2026-08-03
87,THE LEGEND OF ZELDA: A LINK TO THE PAST,SNES,1991,Action,2026-08-03
88,THE LEGEND OF ZELDA: THE WIND WAKER,GC,2002,Action,2026-08-03
89,LUIGI'S MANSION: DARK MOON,3DS,2013,Action,2026-08-03
90,SPLATOON,WiiU,2015,Shooter,2026-08-03
91,NINTENDO LAND,WiiU,2012,Misc,2026-08-03
92,ZELDA II: THE ADVENTURE OF LINK,NES,1987,Adventure,2026-08-03
93,SUPER MARIO 3D WORLD,WiiU,2013,Platform,2026-08-03
94,THE LEGEND OF ZELDA: OCARINA OF TIME,3DS,2011,Action,2026-08-03
95,EXCITEBIKE,NES,1984,Racing,2026-08-03
96,SUPER MARIO WORLD 2: YOSHI'S ISLAND,SNES,1995,Platform,2026-08-03
97,THE LEGEND OF ZELDA: SKYWARD SWORD,Wii,2011,Action,2026-08-03
